Name,Experience_Years,Skills,Education,Applied_Job_Role
Candidate_429,6,"Angular, TypeScript",B.Com,Backend Developer
Candidate_430,3,"JavaScript, React",MBA,DevOps Engineer
Candidate_431,6,"R, Statistics",Diploma in CS,Data Analyst
Candidate_432,2,"Java, Spring",BCA,Product Manager
Candidate_433,5,"Node.js, MongoDB",M.Tech,Data Analyst
Candidate_434,0,"Node.js, MongoDB",B.Com,Product Manager
Candidate_435,13,"AWS, DevOps",MBA,Backend Developer
Candidate_436,4,"Python, SQL, ML",B.Com,Frontend Developer
Candidate_437,0,"Python, SQL, ML",B.Com,Embedded Engineer
Candidate_438,12,"Node.js, MongoDB",B.Sc in IT,Backend Developer
Candidate_439,9,"Excel, Admin",B.Tech in CS,Product Manager
Candidate_440,15,"Node.js, MongoDB",MCA,Product Manager
Candidate_441,7,"Angular, TypeScript",MBA,Frontend Developer
Candidate_442,5,"AWS, DevOps",B.Tech in CS,Virtual Assistant
Candidate_443,3,"Angular, TypeScript",Diploma in CS,Backend Developer
Candidate_444,3,"PHP, Laravel",BCA,Virtual Assistant
Candidate_445,2,"Node.js, MongoDB",B.Sc in IT,Backend Developer
Candidate_446,7,"AWS, DevOps",B.Sc in IT,Product Manager
Candidate_447,4,"Java, Spring",MCA,Frontend Developer
Candidate_448,7,"Python, SQL, ML",MBA,Data Analyst
Candidate_449,7,"Excel, Admin",BCA,Backend Developer
Candidate_450,9,"Excel, Admin",Diploma in CS,DevOps Engineer
Candidate_451,9,"JavaScript, React",Diploma in CS,Product Manager
Candidate_452,1,"JavaScript, React",B.Tech in CS,Virtual Assistant
Candidate_453,14,"Excel, Admin",B.Tech in CS,Frontend Developer
Candidate_454,14,"Excel, Admin",Diploma in CS,DevOps Engineer
Candidate_455,9,"C++, IoT",B.Com,Embedded Engineer
Candidate_456,5,"R, Statistics",B.Sc in IT,Virtual Assistant
Candidate_457,5,"Excel, Admin",Diploma in CS,Data Scientist
Candidate_458,14,"R, Statistics",Diploma in CS,Virtual Assistant
Candidate_459,12,"Angular, TypeScript",M.Tech,Embedded Engineer
Candidate_460,4,"AWS, DevOps",M.Tech,Backend Developer
Candidate_461,15,"C++, IoT",B.Tech in CS,Embedded Engineer
Candidate_462,15,"Java, Spring",BCA,Data Scientist
Candidate_463,8,"R, Statistics",MBA,Frontend Developer
Candidate_464,5,"PHP, Laravel",B.Com,DevOps Engineer
Candidate_465,10,"C++, IoT",Diploma in CS,Backend Developer
Candidate_466,9,"R, Statistics",MCA,Data Analyst
Candidate_467,14,"Python, SQL, ML",B.Sc in IT,DevOps Engineer
Candidate_468,6,"R, Statistics",Diploma in CS,Data Scientist
Candidate_469,9,"Java, Spring",MCA,Product Manager
Candidate_470,14,"Java, Spring",B.Sc in IT,Backend Developer
Candidate_471,5,"Java, Spring",B.Sc in IT,Embedded Engineer
Candidate_472,11,"Java, Spring",M.Tech,Data Analyst
Candidate_473,7,"Node.js, MongoDB",BCA,Data Analyst
Candidate_474,15,"Angular, TypeScript",B.Tech in CS,DevOps Engineer
Candidate_475,5,"JavaScript, React",MBA,DevOps Engineer
Candidate_476,14,"C++, IoT",B.Sc in IT,DevOps Engineer
Candidate_477,0,"Angular, TypeScript",BCA,Data Analyst
Candidate_478,1,"Java, Spring",M.Tech,Data Analyst
Candidate_479,2,"Excel, Admin",MBA,Data Scientist
Candidate_480,11,"C++, IoT",B.Com,DevOps Engineer
Candidate_481,1,"Excel, Admin",B.Tech in CS,Frontend Developer
Candidate_482,14,"Python, SQL, ML",B.Sc in IT,Data Analyst
Candidate_483,13,"C++, IoT",M.Tech,Product Manager
Candidate_484,8,"AWS, DevOps",B.Sc in IT,Virtual Assistant
Candidate_485,10,"Python, SQL, ML",MCA,Data Analyst
Candidate_486,8,"PHP, Laravel",B.Com,Embedded Engineer
Candidate_487,0,"JavaScript, React",B.Sc in IT,Data Scientist
Candidate_488,14,"Java, Spring",MCA,Product Manager
Candidate_489,4,"JavaScript, React",Diploma in CS,Product Manager
Candidate_490,4,"PHP, Laravel",MCA,Virtual Assistant
Candidate_491,13,"R, Statistics",Diploma in CS,Embedded Engineer
Candidate_492,2,"JavaScript, React",B.Com,Data Scientist
Candidate_493,2,"Angular, TypeScript",B.Tech in CS,Data Scientist
Candidate_494,3,"Excel, Admin",B.Com,Frontend Developer
Candidate_495,4,"Excel, Admin",MBA,Virtual Assistant
Candidate_496,15,"PHP, Laravel",B.Com,Frontend Developer
Candidate_497,2,"R, Statistics",B.Sc in IT,Backend Developer
Candidate_498,15,"R, Statistics",BCA,Frontend Developer
Candidate_499,10,"JavaScript, React",Diploma in CS,Frontend Developer
Candidate_500,9,"PHP, Laravel",B.Tech in CS,Data Scientist
Candidate_501,9,"R, Statistics",MCA,Embedded Engineer
Candidate_502,15,"Angular, TypeScript",MCA,Virtual Assistant
Candidate_503,10,"Excel, Admin",B.Sc in IT,Product Manager
Candidate_504,2,"R, Statistics",BCA,Backend Developer
Candidate_505,7,"Angular, TypeScript",Diploma in CS,Backend Developer
Candidate_506,0,"PHP, Laravel",M.Tech,Embedded Engineer
Candidate_507,2,"Python, SQL, ML",MCA,DevOps Engineer
Candidate_508,5,"Java, Spring",B.Com,DevOps Engineer
Candidate_509,1,"Node.js, MongoDB",B.Com,Frontend Developer
Candidate_510,12,"Node.js, MongoDB",Diploma in CS,Backend Developer
Candidate_511,3,"AWS, DevOps",M.Tech,DevOps Engineer
Candidate_512,13,"AWS, DevOps",MCA,Backend Developer
Candidate_513,9,"Python, SQL, ML",MCA,Product Manager
Candidate_514,3,"C++, IoT",BCA,Data Analyst
Candidate_515,4,"R, Statistics",MBA,Virtual Assistant
Candidate_516,13,"Python, SQL, ML",B.Sc in IT,Data Analyst
Candidate_517,6,"Angular, TypeScript",B.Sc in IT,Virtual Assistant
Candidate_518,3,"Python, SQL, ML",MBA,Virtual Assistant
Candidate_519,15,"PHP, Laravel",Diploma in CS,Frontend Developer
Candidate_520,5,"Node.js, MongoDB",M.Tech,Embedded Engineer
Candidate_521,15,"Node.js, MongoDB",Diploma in CS,DevOps Engineer
Candidate_522,13,"JavaScript, React",MBA,Embedded Engineer
Candidate_523,8,"JavaScript, React",M.Tech,Virtual Assistant
Candidate_524,0,"AWS, DevOps",MBA,Backend Developer
Candidate_525,9,"AWS, DevOps",Diploma in CS,Backend Developer
Candidate_526,6,"JavaScript, React",M.Tech,Backend Developer
Candidate_527,14,"AWS, DevOps",B.Tech in CS,Virtual Assistant
Candidate_528,8,"Node.js, MongoDB",B.Com,Backend Developer
Candidate_529,10,"Java, Spring",BCA,Embedded Engineer
Candidate_530,3,"Node.js, MongoDB",B.Com,Data Scientist
Candidate_531,14,"Java, Spring",B.Tech in CS,Product Manager
Candidate_532,1,"Python, SQL, ML",Diploma in CS,Data Scientist
Candidate_533,14,"Python, SQL, ML",MBA,Data Analyst
Candidate_534,6,"PHP, Laravel",MCA,Backend Developer
Candidate_535,5,"Java, Spring",BCA,DevOps Engineer
Candidate_536,15,"R, Statistics",B.Tech in CS,Embedded Engineer
Candidate_537,6,"R, Statistics",B.Tech in CS,Data Analyst
Candidate_538,12,"Excel, Admin",MBA,Frontend Developer
Candidate_539,13,"Java, Spring",MCA,Frontend Developer
Candidate_540,0,"Angular, TypeScript",BCA,Data Scientist
Candidate_541,4,"AWS, DevOps",B.Com,Product Manager
Candidate_542,2,"Node.js, MongoDB",MCA,Data Analyst
Candidate_543,6,"Excel, Admin",BCA,Frontend Developer
Candidate_544,3,"Java, Spring",MBA,Product Manager
Candidate_545,11,"PHP, Laravel",B.Tech in CS,Data Analyst
Candidate_546,12,"Angular, TypeScript",MCA,Data Scientist
Candidate_547,9,"Python, SQL, ML",B.Com,Embedded Engineer
Candidate_548,10,"Node.js, MongoDB",MCA,Product Manager
Candidate_549,12,"R, Statistics",M.Tech,Data Scientist
Candidate_550,6,"C++, IoT",BCA,Frontend Developer
Candidate_551,13,"Java, Spring",B.Tech in CS,DevOps Engineer
Candidate_552,9,"Angular, TypeScript",M.Tech,DevOps Engineer
Candidate_553,2,"Excel, Admin",B.Com,DevOps Engineer
Candidate_554,3,"Python, SQL, ML",BCA,DevOps Engineer
Candidate_555,7,"Node.js, MongoDB",MCA,Backend Developer
Candidate_556,0,"AWS, DevOps",M.Tech,Frontend Developer
Candidate_557,5,"Angular, TypeScript",B.Sc in IT,Embedded Engineer
Candidate_558,12,"Excel, Admin",MCA,DevOps Engineer
Candidate_559,9,"Python, SQL, ML",Diploma in CS,Embedded Engineer
Candidate_560,13,"C++, IoT",MBA,Data Analyst
Candidate_561,11,"R, Statistics",MCA,Data Scientist
Candidate_562,6,"Angular, TypeScript",B.Tech in CS,Virtual Assistant
Candidate_563,10,"JavaScript, React",M.Tech,Backend Developer
Candidate_564,0,"Angular, TypeScript",B.Com,Virtual Assistant
Candidate_565,10,"Python, SQL, ML",BCA,Embedded Engineer
Candidate_566,12,"R, Statistics",M.Tech,Data Analyst
Candidate_567,12,"Excel, Admin",BCA,DevOps Engineer
Candidate_568,10,"JavaScript, React",M.Tech,Frontend Developer
Candidate_569,14,"Java, Spring",B.Com,Product Manager
Candidate_570,2,"C++, IoT",B.Sc in IT,Data Scientist
Candidate_571,6,"Excel, Admin",B.Tech in CS,DevOps Engineer
Candidate_572,8,"Python, SQL, ML",B.Sc in IT,Backend Developer
Candidate_573,4,"Excel, Admin",M.Tech,Product Manager
Candidate_574,14,"Angular, TypeScript",MBA,Embedded Engineer
Candidate_575,10,"Java, Spring",MCA,DevOps Engineer
Candidate_576,12,"Node.js, MongoDB",B.Tech in CS,Product Manager
Candidate_577,1,"JavaScript, React",BCA,Embedded Engineer
Candidate_578,12,"R, Statistics",B.Com,Embedded Engineer
Candidate_579,1,"C++, IoT",Diploma in CS,Data Scientist
Candidate_580,14,"AWS, DevOps",BCA,DevOps Engineer
Candidate_581,2,"C++, IoT",BCA,Data Analyst
Candidate_582,4,"Java, Spring",MCA,Embedded Engineer
Candidate_583,13,"AWS, DevOps",MCA,Product Manager
Candidate_584,7,"C++, IoT",B.Com,Backend Developer
Candidate_585,13,"C++, IoT",MBA,Product Manager
Candidate_586,0,"Python, SQL, ML",MBA,DevOps Engineer
Candidate_587,7,"Angular, TypeScript",MCA,Backend Developer
Candidate_588,3,"JavaScript, React",MCA,Virtual Assistant
Candidate_589,2,"Node.js, MongoDB",B.Sc in IT,Backend Developer
Candidate_590,2,"JavaScript, React",MCA,Product Manager
Candidate_591,13,"C++, IoT",B.Tech in CS,Data Analyst
Candidate_592,0,"AWS, DevOps",MBA,Backend Developer
Candidate_593,13,"R, Statistics",BCA,DevOps Engineer
Candidate_594,6,"Excel, Admin",B.Com,Data Scientist
Candidate_595,9,"R, Statistics",B.Com,Data Analyst
Candidate_596,10,"Python, SQL, ML",MCA,Data Analyst
Candidate_597,7,"PHP, Laravel",Diploma in CS,Data Analyst
Candidate_598,11,"PHP, Laravel",MBA,Data Analyst
Candidate_599,0,"JavaScript, React",BCA,Frontend Developer
Candidate_600,14,"JavaScript, React",B.Tech in CS,Backend Developer
Candidate_601,6,"PHP, Laravel",B.Tech in CS,Virtual Assistant
Candidate_602,11,"Excel, Admin",M.Tech,Frontend Developer
Candidate_603,4,"PHP, Laravel",BCA,Data Analyst
Candidate_604,15,"AWS, DevOps",B.Tech in CS,Backend Developer
Candidate_605,7,"R, Statistics",BCA,Embedded Engineer
Candidate_606,8,"Node.js, MongoDB",MBA,Product Manager
Candidate_607,5,"C++, IoT",B.Com,Backend Developer
Candidate_608,8,"C++, IoT",MBA,Data Scientist
Candidate_609,15,"Python, SQL, ML",B.Sc in IT,Backend Developer
Candidate_610,13,"R, Statistics",M.Tech,DevOps Engineer
Candidate_611,9,"R, Statistics",B.Tech in CS,Backend Developer
Candidate_612,0,"Node.js, MongoDB",MCA,Data Analyst
Candidate_613,5,"AWS, DevOps",M.Tech,Data Analyst
Candidate_614,14,"R, Statistics",MCA,Data Analyst
Candidate_615,1,"AWS, DevOps",B.Sc in IT,Data Scientist
Candidate_616,11,"R, Statistics",B.Com,Product Manager
Candidate_617,11,"R, Statistics",Diploma in CS,Product Manager
Candidate_618,7,"Python, SQL, ML",MBA,Virtual Assistant
Candidate_619,13,"PHP, Laravel",B.Sc in IT,Embedded Engineer
Candidate_620,8,"Excel, Admin",B.Com,Data Analyst
Candidate_621,0,"Python, SQL, ML",B.Com,Virtual Assistant
Candidate_622,14,"Angular, TypeScript",Diploma in CS,Frontend Developer
Candidate_623,2,"Excel, Admin",MCA,Data Scientist
Candidate_624,8,"Angular, TypeScript",B.Com,Virtual Assistant
Candidate_625,5,"Python, SQL, ML",B.Tech in CS,Data Analyst
Candidate_626,8,"Node.js, MongoDB",MBA,Product Manager
Candidate_627,7,"JavaScript, React",B.Tech in CS,Backend Developer
Candidate_628,4,"Python, SQL, ML",B.Sc in IT,Data Analyst
Candidate_629,9,"C++, IoT",B.Tech in CS,Backend Developer
Candidate_630,8,"JavaScript, React",B.Sc in IT,Frontend Developer
Candidate_631,6,"PHP, Laravel",MBA,Virtual Assistant
Candidate_632,4,"Angular, TypeScript",B.Tech in CS,Frontend Developer
Candidate_633,4,"Node.js, MongoDB",Diploma in CS,Virtual Assistant
Candidate_634,8,"AWS, DevOps",B.Com,Backend Developer
Candidate_635,3,"Node.js, MongoDB",MCA,Embedded Engineer
Candidate_636,7,"AWS, DevOps",Diploma in CS,Frontend Developer
Candidate_637,1,"Node.js, MongoDB",Diploma in CS,Data Scientist
Candidate_638,2,"Angular, TypeScript",M.Tech,Virtual Assistant
Candidate_639,15,"PHP, Laravel",B.Sc in IT,Virtual Assistant
Candidate_640,13,"Python, SQL, ML",BCA,Virtual Assistant
Candidate_641,5,"JavaScript, React",Diploma in CS,Product Manager
Candidate_642,14,"Node.js, MongoDB",MBA,Embedded Engineer
Candidate_643,5,"Java, Spring",BCA,Virtual Assistant
Candidate_644,8,"PHP, Laravel",M.Tech,Backend Developer
Candidate_645,5,"C++, IoT",B.Tech in CS,Product Manager
Candidate_646,6,"R, Statistics",Diploma in CS,Virtual Assistant
Candidate_647,10,"C++, IoT",M.Tech,Data Scientist
Candidate_648,9,"Excel, Admin",Diploma in CS,Data Analyst
Candidate_649,4,"C++, IoT",MCA,Frontend Developer
Candidate_650,3,"Angular, TypeScript",M.Tech,Embedded Engineer
Candidate_651,0,"Angular, TypeScript",B.Sc in IT,Product Manager
Candidate_652,14,"C++, IoT",B.Com,Frontend Developer
Candidate_653,1,"Java, Spring",Diploma in CS,Backend Developer
Candidate_654,5,"Excel, Admin",B.Sc in IT,Embedded Engineer
Candidate_655,15,"Python, SQL, ML",B.Com,Virtual Assistant
Candidate_656,8,"JavaScript, React",MBA,DevOps Engineer
Candidate_657,7,"PHP, Laravel",B.Tech in CS,Backend Developer
Candidate_658,12,"Angular, TypeScript",B.Tech in CS,Data Analyst
Candidate_659,13,"Angular, TypeScript",M.Tech,Virtual Assistant
Candidate_660,0,"C++, IoT",B.Tech in CS,Data Scientist
Candidate_661,14,"Node.js, MongoDB",Diploma in CS,Data Scientist
Candidate_662,8,"Python, SQL, ML",MBA,Virtual Assistant
Candidate_663,11,"C++, IoT",M.Tech,Embedded Engineer
Candidate_664,10,"Excel, Admin",B.Tech in CS,DevOps Engineer
Candidate_665,2,"R, Statistics",M.Tech,Frontend Developer
Candidate_666,8,"Java, Spring",B.Com,Product Manager
Candidate_667,3,"AWS, DevOps",M.Tech,Virtual Assistant
Candidate_668,15,"Excel, Admin",B.Tech in CS,Data Scientist
Candidate_669,10,"Angular, TypeScript",MCA,Backend Developer
Candidate_670,8,"Node.js, MongoDB",B.Tech in CS,DevOps Engineer
Candidate_671,1,"PHP, Laravel",BCA,Product Manager
Candidate_672,5,"C++, IoT",B.Com,Backend Developer
Candidate_673,4,"Angular, TypeScript",B.Sc in IT,Backend Developer
Candidate_674,11,"C++, IoT",MCA,Embedded Engineer
Candidate_675,11,"R, Statistics",MCA,Frontend Developer
Candidate_676,10,"Java, Spring",M.Tech,Embedded Engineer
Candidate_677,14,"Angular, TypeScript",B.Com,Data Analyst
Candidate_678,6,"Python, SQL, ML",M.Tech,Product Manager
Candidate_679,7,"PHP, Laravel",B.Com,Data Scientist
Candidate_680,6,"Angular, TypeScript",MBA,Backend Developer
Candidate_681,12,"Python, SQL, ML",B.Com,Backend Developer
Candidate_682,11,"Angular, TypeScript",MCA,DevOps Engineer
Candidate_683,15,"Python, SQL, ML",Diploma in CS,Data Scientist
Candidate_684,9,"C++, IoT",Diploma in CS,Backend Developer
Candidate_685,2,"PHP, Laravel",B.Sc in IT,Data Analyst
Candidate_686,0,"Python, SQL, ML",BCA,Virtual Assistant
Candidate_687,13,"Angular, TypeScript",B.Com,Data Scientist
Candidate_688,4,"PHP, Laravel",B.Sc in IT,Data Scientist
Candidate_689,1,"Excel, Admin",Diploma in CS,DevOps Engineer
Candidate_690,1,"Node.js, MongoDB",Diploma in CS,Virtual Assistant
Candidate_691,4,"Java, Spring",BCA,Data Scientist
Candidate_692,5,"Java, Spring",MBA,Backend Developer
Candidate_693,0,"Angular, TypeScript",MBA,DevOps Engineer
Candidate_694,0,"Python, SQL, ML",B.Sc in IT,Data Scientist
Candidate_695,8,"Python, SQL, ML",B.Sc in IT,Product Manager
Candidate_696,1,"C++, IoT",Diploma in CS,Virtual Assistant
Candidate_697,6,"Node.js, MongoDB",Diploma in CS,Backend Developer
Candidate_698,5,"C++, IoT",B.Sc in IT,Data Scientist
Candidate_699,2,"R, Statistics",BCA,Virtual Assistant
Candidate_700,12,"JavaScript, React",B.Tech in CS,Virtual Assistant
Candidate_701,1,"JavaScript, React",M.Tech,Virtual Assistant
Candidate_702,0,"AWS, DevOps",B.Com,DevOps Engineer
Candidate_703,10,"AWS, DevOps",B.Com,Virtual Assistant
Candidate_704,9,"C++, IoT",B.Com,Frontend Developer
Candidate_705,8,"Python, SQL, ML",MCA,Virtual Assistant
Candidate_706,14,"Java, Spring",B.Sc in IT,Embedded Engineer
Candidate_707,4,"Node.js, MongoDB",BCA,Product Manager
Candidate_708,6,"C++, IoT",B.Tech in CS,Frontend Developer
Candidate_709,2,"AWS, DevOps",B.Com,DevOps Engineer
Candidate_710,0,"Node.js, MongoDB",B.Sc in IT,Embedded Engineer
Candidate_711,5,"Excel, Admin",MCA,Embedded Engineer
Candidate_712,13,"Python, SQL, ML",MBA,Data Scientist
Candidate_713,4,"AWS, DevOps",B.Com,Product Manager
Candidate_714,8,"C++, IoT",MBA,Frontend Developer
Candidate_715,10,"Node.js, MongoDB",M.Tech,Virtual Assistant
Candidate_716,2,"Java, Spring",MBA,Data Analyst
Candidate_717,14,"C++, IoT",BCA,Virtual Assistant
Candidate_718,3,"Angular, TypeScript",MBA,Data Analyst
Candidate_719,2,"PHP, Laravel",B.Tech in CS,Embedded Engineer
Candidate_720,9,"AWS, DevOps",B.Com,Virtual Assistant
Candidate_721,9,"Excel, Admin",B.Com,Data Analyst
Candidate_722,8,"Python, SQL, ML",B.Sc in IT,Product Manager
Candidate_723,11,"PHP, Laravel",MCA,Data Scientist
Candidate_724,8,"Excel, Admin",B.Sc in IT,Data Analyst
Candidate_725,14,"AWS, DevOps",M.Tech,DevOps Engineer
Candidate_726,12,"C++, IoT",MCA,Frontend Developer
Candidate_727,1,"C++, IoT",B.Com,DevOps Engineer
Candidate_728,7,"Angular, TypeScript",B.Sc in IT,DevOps Engineer
Candidate_729,4,"Java, Spring",B.Sc in IT,Frontend Developer
Candidate_730,1,"R, Statistics",BCA,Product Manager
Candidate_731,6,"JavaScript, React",BCA,Data Scientist
Candidate_732,8,"Node.js, MongoDB",M.Tech,Frontend Developer
Candidate_733,12,"Angular, TypeScript",BCA,Virtual Assistant
Candidate_734,6,"R, Statistics",MBA,Embedded Engineer
Candidate_735,1,"JavaScript, React",MCA,Virtual Assistant
Candidate_736,0,"JavaScript, React",MBA,Virtual Assistant
Candidate_737,13,"Java, Spring",B.Tech in CS,Embedded Engineer
Candidate_738,14,"Python, SQL, ML",MCA,Backend Developer
Candidate_739,2,"Java, Spring",B.Com,Embedded Engineer
Candidate_740,15,"Excel, Admin",Diploma in CS,DevOps Engineer
Candidate_741,11,"Java, Spring",MBA,Virtual Assistant
Candidate_742,7,"AWS, DevOps",B.Sc in IT,DevOps Engineer
Candidate_743,5,"Angular, TypeScript",MCA,Embedded Engineer
Candidate_744,5,"Python, SQL, ML",B.Tech in CS,Virtual Assistant
Candidate_745,7,"Node.js, MongoDB",B.Com,Product Manager
Candidate_746,7,"Angular, TypeScript",B.Sc in IT,Data Scientist
Candidate_747,3,"C++, IoT",MBA,Virtual Assistant
Candidate_748,3,"JavaScript, React",B.Tech in CS,Data Scientist
Candidate_749,10,"Python, SQL, ML",MCA,Data Scientist
Candidate_750,11,"JavaScript, React",B.Com,Data Scientist
Candidate_751,8,"Java, Spring",BCA,Product Manager
Candidate_752,12,"Angular, TypeScript",Diploma in CS,Data Scientist
Candidate_753,13,"Angular, TypeScript",M.Tech,Data Analyst
Candidate_754,8,"Python, SQL, ML",BCA,Virtual Assistant
Candidate_755,10,"Java, Spring",BCA,Backend Developer
Candidate_756,0,"Java, Spring",MBA,Frontend Developer
Candidate_757,8,"Python, SQL, ML",MBA,Frontend Developer
Candidate_758,6,"Java, Spring",Diploma in CS,Embedded Engineer
Candidate_759,8,"Angular, TypeScript",M.Tech,Backend Developer
Candidate_760,8,"Python, SQL, ML",Diploma in CS,Product Manager
Candidate_761,2,"C++, IoT",Diploma in CS,Data Scientist
Candidate_762,6,"PHP, Laravel",MCA,Product Manager
Candidate_763,2,"PHP, Laravel",B.Com,Data Scientist
Candidate_764,5,"PHP, Laravel",MBA,Data Analyst
Candidate_765,9,"PHP, Laravel",B.Tech in CS,Frontend Developer
Candidate_766,14,"C++, IoT",B.Sc in IT,Frontend Developer
Candidate_767,10,"AWS, DevOps",BCA,Virtual Assistant
Candidate_768,13,"Python, SQL, ML",B.Sc in IT,Product Manager
Candidate_769,4,"R, Statistics",B.Sc in IT,Virtual Assistant
Candidate_770,1,"R, Statistics",MBA,Embedded Engineer
Candidate_771,6,"JavaScript, React",B.Com,Data Scientist
Candidate_772,15,"C++, IoT",B.Tech in CS,Data Analyst
Candidate_773,5,"R, Statistics",MCA,Frontend Developer
Candidate_774,8,"Angular, TypeScript",B.Tech in CS,Data Scientist
Candidate_775,14,"AWS, DevOps",BCA,Virtual Assistant
Candidate_776,5,"Node.js, MongoDB",M.Tech,Data Analyst
Candidate_777,13,"JavaScript, React",BCA,Backend Developer
Candidate_778,9,"PHP, Laravel",BCA,Data Analyst
Candidate_779,7,"Python, SQL, ML",M.Tech,Frontend Developer
Candidate_780,12,"Excel, Admin",B.Com,Backend Developer
Candidate_781,14,"C++, IoT",M.Tech,Frontend Developer
Candidate_782,3,"Excel, Admin",BCA,Data Scientist
Candidate_783,2,"AWS, DevOps",B.Sc in IT,Product Manager
Candidate_784,8,"Java, Spring",Diploma in CS,Product Manager
Candidate_785,3,"Excel, Admin",M.Tech,Backend Developer
Candidate_786,9,"Python, SQL, ML",Diploma in CS,Data Analyst
Candidate_787,10,"AWS, DevOps",MBA,Virtual Assistant
Candidate_788,5,"JavaScript, React",B.Tech in CS,Backend Developer
Candidate_789,3,"JavaScript, React",B.Com,Virtual Assistant
Candidate_790,5,"AWS, DevOps",BCA,Data Scientist
Candidate_791,2,"PHP, Laravel",B.Sc in IT,Product Manager
Candidate_792,11,"Python, SQL, ML",MCA,DevOps Engineer
Candidate_793,5,"Node.js, MongoDB",B.Sc in IT,Virtual Assistant
Candidate_794,3,"PHP, Laravel",BCA,Data Analyst
Candidate_795,5,"Angular, TypeScript",B.Com,Embedded Engineer
Candidate_796,7,"JavaScript, React",B.Sc in IT,Data Scientist
Candidate_797,10,"PHP, Laravel",M.Tech,Backend Developer
Candidate_798,14,"PHP, Laravel",MCA,Data Analyst
Candidate_799,4,"AWS, DevOps",MCA,Backend Developer
Candidate_800,4,"JavaScript, React",Diploma in CS,Data Analyst
Candidate_801,13,"R, Statistics",B.Sc in IT,Product Manager
Candidate_802,1,"C++, IoT",BCA,Product Manager
Candidate_803,3,"JavaScript, React",MBA,Frontend Developer
Candidate_804,11,"PHP, Laravel",MCA,Embedded Engineer
Candidate_805,15,"Node.js, MongoDB",BCA,Backend Developer
Candidate_806,5,"PHP, Laravel",Diploma in CS,Data Analyst
Candidate_807,13,"Excel, Admin",B.Com,Data Scientist
Candidate_808,5,"Java, Spring",BCA,Data Scientist
Candidate_809,8,"Excel, Admin",M.Tech,Frontend Developer
Candidate_810,4,"C++, IoT",B.Com,Embedded Engineer
Candidate_811,14,"JavaScript, React",M.Tech,Data Analyst
Candidate_812,1,"C++, IoT",BCA,DevOps Engineer
Candidate_813,11,"Python, SQL, ML",MBA,Embedded Engineer
Candidate_814,2,"Python, SQL, ML",BCA,Product Manager
Candidate_815,5,"Java, Spring",B.Sc in IT,Virtual Assistant
Candidate_816,8,"Python, SQL, ML",M.Tech,Embedded Engineer
Candidate_817,5,"Angular, TypeScript",Diploma in CS,Data Analyst
Candidate_818,7,"R, Statistics",BCA,Data Analyst
Candidate_819,6,"Node.js, MongoDB",M.Tech,DevOps Engineer
Candidate_820,10,"R, Statistics",MBA,Data Analyst
Candidate_821,11,"Node.js, MongoDB",MCA,Data Analyst
Candidate_822,10,"Java, Spring",BCA,Data Analyst
Candidate_823,1,"Excel, Admin",B.Sc in IT,Data Analyst
Candidate_824,6,"R, Statistics",B.Com,Virtual Assistant
Candidate_825,13,"PHP, Laravel",MCA,Virtual Assistant
Candidate_826,14,"Node.js, MongoDB",MCA,Backend Developer
Candidate_827,13,"C++, IoT",MCA,Frontend Developer
Candidate_828,10,"AWS, DevOps",B.Sc in IT,Virtual Assistant
Candidate_829,0,"Java, Spring",B.Com,Backend Developer
Candidate_830,6,"Python, SQL, ML",MCA,Backend Developer
Candidate_831,6,"Node.js, MongoDB",MBA,DevOps Engineer
Candidate_832,14,"Node.js, MongoDB",MCA,Data Analyst
Candidate_833,9,"Angular, TypeScript",BCA,DevOps Engineer
Candidate_834,0,"Java, Spring",B.Tech in CS,Data Scientist
Candidate_835,5,"C++, IoT",B.Tech in CS,Virtual Assistant
Candidate_836,11,"C++, IoT",MBA,Data Analyst
Candidate_837,8,"PHP, Laravel",MCA,Embedded Engineer
Candidate_838,14,"PHP, Laravel",B.Com,Backend Developer
Candidate_839,12,"Angular, TypeScript",Diploma in CS,Backend Developer
Candidate_840,5,"Angular, TypeScript",B.Tech in CS,Data Analyst
Candidate_841,9,"Angular, TypeScript",MCA,Data Analyst
Candidate_842,5,"R, Statistics",MCA,Product Manager
Candidate_843,1,"PHP, Laravel",B.Tech in CS,DevOps Engineer
Candidate_844,8,"Angular, TypeScript",B.Tech in CS,Data Analyst
Candidate_845,0,"Excel, Admin",BCA,Embedded Engineer
Candidate_846,12,"Node.js, MongoDB",BCA,Frontend Developer
Candidate_847,14,"Angular, TypeScript",Diploma in CS,Virtual Assistant
Candidate_848,0,"Python, SQL, ML",MCA,Product Manager
Candidate_849,12,"AWS, DevOps",B.Sc in IT,Virtual Assistant
Candidate_850,13,"R, Statistics",M.Tech,Embedded Engineer
Candidate_851,4,"Excel, Admin",BCA,DevOps Engineer
Candidate_852,15,"PHP, Laravel",B.Com,Virtual Assistant
Candidate_853,5,"Angular, TypeScript",B.Tech in CS,Data Analyst
Candidate_854,11,"R, Statistics",B.Tech in CS,Product Manager
Candidate_855,1,"PHP, Laravel",M.Tech,Product Manager
Candidate_856,13,"Python, SQL, ML",B.Sc in IT,DevOps Engineer
Candidate_857,4,"JavaScript, React",M.Tech,Product Manager
Candidate_858,3,"JavaScript, React",B.Tech in CS,Data Analyst
